Season,ID,value_ave_GB,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mx,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1,Zscr_BT_ave_GB,Zscr_BT_JHIM.mx,Zscr_BT_FTCT.mx,Zscr_BT_FZVmx,Zscr_BT_EccDur.mn,Zscr_BT_TTPP.mx,Zscr_BT_tm_CV_SMF1,Zscr_BT_mu.vel_CV_SMF1,Zscr_BT_logAdj_pl.up,Zscr_BT_logAdj_pl.fwd,Zscr_BT_logAdj_pl.side,Zscr_BT_HRmu_perc,Zscr_BT_pl.up_CV_SMR1,Zscr_BT_pl.fwd_CV_SMR1,Zscr_BT_pl.side_CV_SMR1,Zscr_WI_TD_acu7,Zscr_WI_HIR_17_acu7,Zscr_WI_VHSR_25_acu7
2023,2,450,35.3,0.91,2094,400,0.64,4.89,25.17,1.016,0.427,0.43,77.3,21.31,8.37,9.83,-0.36,-0.28,-0.13,-0.81,-0.11,0.13,0.8,0.19,0.14,0.26,0.12,0.13,0.06,-0.54,0.09,0.27,0.92,0.15
2023,10,434,34.1,1.14,3241,334,0.48,3.57,27.88,1.216,0.61,0.456,77,26.45,12.41,11.55,-0.55,-0.58,1.28,1.73,-1.14,-1.26,-0.39,1.29,1.13,1.24,0.25,0.06,1.83,1.92,0.99,0.55,1.5,1.42
2023,5,500.5,38.3,1.09,2644,342,0.64,4,27.46,0.877,0.035,0.307,74.7,24.22,7.54,9.8,0.23,0.47,0.98,0.4,-1.02,0.13,0,1.12,-0.54,-1.82,-0.5,-0.44,1.07,-1.05,0.08,0.61,1.22,1.64
2023,16,516,37.1,1.18,3126,300,0.57,2.72,27.64,1.203,0.577,0.505,77.2,22.42,9.03,8.91,0.41,0.17,1.53,1.47,-1.67,-0.48,-1.15,1.2,1.07,1.06,0.49,0.11,0.45,-0.14,-0.39,0.56,1.8,1.23
2023,13,452.5,37.9,0.69,1726,518,0.8,3.2,29.02,1.217,0.254,0.462,76.4,17.97,7.81,8.61,-0.33,0.37,-1.48,-1.63,1.73,1.53,-0.72,1.76,1.14,-0.66,0.28,-0.07,-1.09,-0.88,-0.54,0.19,0.41,0.96
2023,23,607.5,39,0.74,2575,502,0.77,2.45,26.42,0.51,0.112,0.44,82.2,17.41,6.26,9.27,1.47,0.64,-1.18,0.25,1.48,1.27,-1.39,0.7,-2.35,-1.41,0.17,1.21,-1.28,-1.82,-0.2,-0.14,1.01,0.69
2023,18,525.5,38.6,1.03,2725,394,0.66,3.03,27.76,0.955,0.211,0.309,,,,,0.52,0.54,0.61,0.58,-0.21,0.31,-0.87,1.24,-0.16,-0.89,-0.49,,,,,0.57,0.63,0.82
2023,11,470.5,37.9,0.75,2414,488,0.73,3.58,26.98,1.045,0.405,0.03,83.9,24.97,10.53,8.8,-0.12,0.37,-1.11,-0.11,1.26,0.92,-0.38,0.93,0.29,0.15,-1.88,1.59,1.32,0.78,-0.44,0.07,0.72,0.32
2023,19,313,37,0.87,2203,470,0.66,3.74,28.12,1.001,0.344,0.451,74.4,20.48,8.38,13.96,-1.96,0.14,-0.38,-0.57,0.98,0.31,-0.23,1.39,0.07,-0.18,0.22,-0.51,-0.22,-0.53,2.25,0.33,0.67,1.01
2023,40,284,,,,,,,,,,,,,,,-2.29,,,,,,,,,,,,,,,-2.31,-1.37,-1.39
2023,9,564,35.5,0.9,2613,398,0.58,3.84,27.89,0.654,0.371,0.557,71,21.87,8.74,11.11,0.97,-0.23,-0.19,0.34,-0.15,-0.39,-0.14,1.3,-1.64,-0.04,0.75,-1.26,0.26,-0.31,0.76,0.21,0.75,0.29
2023,22,,,,,,,2.9,27.2,0.795,0.176,0.247,78.1,23.94,9.89,11.41,,,,,,,-0.99,1.02,-0.94,-1.07,-0.8,0.31,0.97,0.39,0.92,-0.08,-0.66,-1.54
2023,4,479,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,0.62,0.75,-0.2
2023,40,252.5,,,,,,,,,,,,,,,-2.66,,,,,,,,,,,,,,,-1.93,-1.35,-1.39
2023,8,497.5,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,0.61,1.04,0.28
2023,19,381,,,,,,,,,,,,,,,-1.17,,,,,,,,,,,,,,,0.55,0.81,1.31
2023,23,617.5,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,-0.4,1,1.03
2023,3,489,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,0.62,1.53,0.55
2023,4,482.5,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.78,1.38,0.23
2023,39,461,,,,,,,,,,,,,,,-0.23,,,,,,,,,,,,,,,-2.2,-1.37,-1.56
2023,9,546,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,0.53,1.55,1.41
2023,2,349,,,,,,,,,,,,,,,-1.54,,,,,,,,,,,,,,,0.37,1.25,0.09
2023,5,502.5,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,0.9,1.79,1.01
2023,10,394,,,,,,,,,,,,,,,-1.01,,,,,,,,,,,,,,,0.09,0.94,0.71
2023,19,361.5,,,,,,,,,,,,,,,-1.39,,,,,,,,,,,,,,,0.79,1.34,1.35
2023,7,558.5,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,-0.04,0.88,1
2023,11,469.5,,,,,,,,,,,,,,,-0.14,,,,,,,,,,,,,,,0.39,1.34,2.28
2023,18,555,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,0.36,1.12,0.82
2023,23,602.5,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,-0.87,0.62,0.69
2023,16,516,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,-0.14,1,0.3
2023,42,589.5,,,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,0.35,0.42,-0.7
2023,40,231.5,,,,,,,,,,,,,,,-2.91,,,,,,,,,,,,,,,-1.93,-1.35,-1.39
2023,8,461.5,,,,,,,,,,,,,,,-0.23,,,,,,,,,,,,,,,0.35,0.73,0.23
2023,20,563,36.5,1.01,3177,418,0.58,3.82,27.22,0.713,0.028,0.172,83.6,18.88,7.16,8.05,0.95,0.02,0.48,1.59,0.17,-0.39,-0.16,1.02,-1.35,-1.86,-1.17,1.52,-0.77,-1.28,-0.83,-0.8,-1.1,-0.71
2023,3,467,37.8,0.94,2401,396,0.57,4.19,25.28,1.404,0.85,0.79,79.7,19.83,10.65,10.59,-0.16,0.34,0.05,-0.13,-0.18,-0.48,0.17,0.23,2.06,2.51,1.92,0.66,-0.45,0.85,0.49,0.89,2.02,0.44
2023,39,434,,,,,,,,,,,,,,,-0.55,,,,,,,,,,,,,,,-1.83,-1.5,-1.56
2023,4,511.5,33.8,0.91,2275,394,0.57,3.53,27.5,1.246,0.509,0.393,79.7,17.88,8.2,7.5,0.35,-0.65,-0.13,-0.41,-0.21,-0.48,-0.42,1.14,1.28,0.7,-0.07,0.66,-1.12,-0.64,-1.12,1.08,2.04,0.05
