ID,value_ave_GB,value_ConPV_mx,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mx,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1
19,381,,,,,,,,,,,,,,,
23,617.5,,,,,,,,,,,,,,,
3,489,,,,,,,,,,,,,,,
4,482.5,,,,,,,,,,,,,,,
39,461,,,,,,,,,,,,,,,
9,546,,,,,,,,,,,,,,,
2,349,,,,,,,,,,,,,,,
5,502.5,,,,,,,,,,,,,,,
10,394,,,,,,,,,,,,,,,
19,361.5,,,,,,,,,,,,,,,
7,558.5,,,,,,,,,,,,,,,
11,469.5,,,,,,,,,,,,,,,
18,555,,,,,,,,,,,,,,,
23,602.5,,,,,,,,,,,,,,,
16,516,,,,,,,,,,,,,,,
42,589.5,,,,,,,,,,,,,,,
40,231.5,,,,,,,,,,,,,,,
8,461.5,,,,,,,,,,,,,,,
20,563,2.76,36.5,1.01,3177,418,0.58,3.82,27.22,0.713,0.028,0.172,83.6,18.88,7.16,8.05
3,467,2.81,37.8,0.94,2401,396,0.57,4.19,25.28,1.404,0.85,0.79,79.7,19.83,10.65,10.59
39,434,,,,,,,,,,,,,,,
4,511.5,2.67,33.8,0.91,2275,394,0.57,3.53,27.5,1.246,0.509,0.393,79.7,17.88,8.2,7.5
30,,3,43,0.81,2066,,,4.57,23.96,0.896,0.231,0.101,,19.48,7.91,7.53
41,430.5,2.66,30.9,0.68,1906,536,0.78,,,,,,,,,
11,471.5,2.74,35.3,0.89,2662,416,0.75,4.37,26.97,1.111,0.455,0.433,86.5,27.54,,10.92
24,550,2.71,34.9,0.96,2929,398,0.69,,,,,,80.5,21.9,10,16.51
35,434,2.89,40,1.24,3052,328,0.43,3.01,26.38,0.987,0.408,0.49,86.6,23.23,9.47,9.55
25,,2.54,29.3,0.7,2269,442,,5.82,20.97,0.94,0.579,0.709,78.9,19.53,9.95,11.19
15,600.5,2.82,37.6,0.66,,512,0.84,3.72,25.83,1.309,0.747,0.66,80.9,18.81,8.81,10.4
19,332,2.7,34.6,0.88,2024,436,0.69,3.64,27.18,1.003,0.338,0.565,72.3,19.36,8.49,12.99
33,517.5,2.85,38.1,0.89,2094,406,0.61,3.24,25.04,0.916,0.217,0.222,81.8,19.99,10.4,9.35
1,416.5,2.8,37,1.2,3244,308,0.44,2.56,26.83,0.895,0.327,0.31,73,26.09,10.31,9.59
29,,,,0.91,1816,450,0.67,4.59,24.93,0.807,0.063,,82.2,19.34,6.33,8.69
28,,2.79,36.9,0.76,2307,486,0.7,4.7,23.86,0.804,0.362,0.28,,23,7.31,7.7
21,573.5,2.68,33.7,1.12,2784,302,0.44,1.98,26.54,1.372,0.778,0.588,72.5,23.68,12.33,13.45
10,452,2.66,33.3,1.12,3049,334,0.46,3.27,28.42,1.248,0.675,0.391,79.5,26.18,12.65,10.62
