ID,value_ave_GB,value_ConPV_mx,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mn,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1
8,549,2.8,37.58,0.83,1698.6,0.456,0.612,4.77,20.97,0.853,0.298,0.286,,20.62,8.7,8.2
8,,2.87,39.21,0.84,1644.4,0.432,0.612,2.24,28.31,0.66,0.575,0.439,,,,
9,518,,,,,,,,,,,,,,,
9,564,2.74,35.49,0.9,2612.7,0.398,0.542,3.84,27.89,0.624,0.331,0.557,71,21.87,8.74,11.11
9,546,,,,,,,,,,,,,,,
9,547,2.77,36.09,0.95,2691.4,0.39,0.526,3.82,27.58,0.735,0.267,0.529,69.4,23.39,10,
9,543.5,,,,,,,,,,,,,,,
9,565.5,2.79,37.37,0.89,2659.2,0.43,0.568,3.95,27.16,0.717,0.348,0.455,72,21.65,8.67,10.71
9,532,,,,,,,,,,,,,,,
9,559.5,2.86,39.28,0.96,2785.7,0.398,0.534,,,,,,,,,
9,549,,,,,,,,,,,,,,,
9,527.5,2.72,34.86,0.81,2478.5,0.46,0.636,3.56,27.76,0.658,0.223,0.33,74.2,20.3,9.99,10.36
9,537,,,,,,,,,,,,,,,
9,531.5,2.78,37.39,0.91,2745.8,0.42,0.562,3.88,27.35,0.667,0.327,0.256,72.6,21.75,9.4,8.74
9,546.5,,,,,,,,,,,,,,,
9,,,,,,,,4.95,22.29,0.902,0.543,0.687,,22.84,8.45,9.16
9,528,2.75,35.99,0.88,2502.7,0.426,0.58,3.2,27.47,0.661,0.301,0.277,71.5,20.13,10.77,8.86
9,527.5,,,,,,,,,,,,,,,
9,521,2.7,34.63,0.89,2628.6,0.42,0.568,4.13,25.93,0.657,0.18,0.395,71.5,21.75,10.01,9.02
9,535,,,,,,,,,,,,,,,
9,566.5,,,,,,,,,,,,,,,
9,558,2.76,36.21,0.89,2556.4,0.416,0.574,3.72,25.01,0.749,0.226,0.442,69.4,20.46,9.44,8.81
9,550.5,,,,,,,,,0.784,0.195,0.467,68.8,20.22,10.14,8.68
9,,2.78,36.99,0.89,2686.5,0.414,0.57,,,,,,,,,
9,550,,,,,,,5.56,24.18,0.885,0.428,0.425,71.5,22,10.1,8.29
9,,2.81,37.14,0.88,2515.9,0.426,0.582,,,,,,,,,
9,531,,,,,,,3.96,25.13,0.878,0.275,0.373,,,,
9,515.5,2.79,37.24,0.93,2548.5,0.42,0.562,,,,,,,,,
9,532,,,,,,,,,,,,,,,
9,542,2.91,40.83,0.92,2778.8,0.448,0.618,6.49,,0.503,0.096,,,,,
9,529.5,,,,,,,,,,,,,,,
9,556,2.81,38.19,0.88,2698.6,0.442,0.614,3.44,26.53,0.71,0.068,0.044,70.4,15.62,8.61,6.91
9,558,,,,,,,,,,,,,,,
9,554.5,,,,,,,,,,,,,,,
9,562.5,2.84,38.59,0.84,2591,0.488,0.654,5.49,24.76,0.588,0.102,,71,15.89,8.5,7.16
9,561,,,,,,,,,,,,,,,
9,559.5,2.82,38.06,0.87,2697,0.452,0.612,,,,,,72.6,15.31,7.66,6.89
9,573.5,,,,,,,,,,,,73.1,15.46,7.31,8.25
9,588,2.81,37.83,0.91,2719.4,0.424,0.572,3.11,27.67,0.879,0.103,0.357,,,,
9,595.5,2.83,38.27,0.85,2761.9,0.468,0.622,5.53,28.44,0.675,0.179,0.101,72,17.12,8.3,7.72
9,567.5,2.8,37.75,0.82,2692.1,0.474,0.642,,,,,,,,,
9,571,2.76,36.28,0.85,2724.5,0.448,0.614,4.71,24.43,0.525,0.134,0.306,69.4,14.72,6.92,7.25
9,567.5,2.84,38.71,0.87,2782.3,0.44,0.606,,,,,,,,,
9,583,2.8,37.49,0.83,2536.2,0.482,0.64,3.32,26.99,0.856,0.411,0.514,,,,
9,601,2.8,37.18,0.84,2560.5,0.46,0.624,2.61,27.73,0.572,0.138,0.13,68.8,14.71,7.74,7.6
9,574.5,2.77,36.55,0.77,2622.3,0.498,0.668,3.94,,0.706,0.118,0.214,67.7,13.66,6.7,6.74
9,,2.8,37.31,0.85,2551,0.45,0.628,2.25,27.41,0.759,0.276,0.484,,,,
10,439,,,,,,,,,,,,,,,
10,434,2.7,34.06,1.14,3240.7,0.334,0.438,3.57,27.88,1.186,0.58,0.456,77,26.45,12.41,11.55
10,394,,,,,,,,,,,,,,,
10,452,2.66,33.31,1.12,3049.4,0.334,0.44,3.27,28.42,1.188,0.605,0.331,79.5,26.18,12.65,10.62
10,427,,,,,,,,,,,,,,,
10,447,2.64,32.65,1.18,3247.2,0.32,0.416,3.21,27.72,1.273,0.684,0.6,78.5,25.54,12.98,11.7
10,461,,,,,,,,,,,,,,,
10,365,2.75,35.62,1.19,3407.7,0.322,0.416,,,,,,,,,
10,364,,,,,,,,,,,,,,,
10,488,,,,,,,,,,,,,,,
10,480,2.72,34.1,1.05,2880.2,0.336,0.444,,,,,,,,,
10,393,,,,,,,,,,,,,,,
10,476,2.69,33.38,1,2640.8,0.358,0.476,4.15,26.56,1.387,0.619,0.779,76,21.34,12.18,9.88
10,,,,,,,,,19.88,1.184,0.944,0.811,,23.08,13.32,11.07
10,461,2.65,32.42,1.06,2936.7,0.352,0.462,4.18,25.88,1.306,0.393,0.662,80,19.21,9.92,8.99
10,478.5,,,,,,,,,,,,,,,
10,398,2.54,,1.01,2853.6,0.332,0.45,2.53,28.38,1.336,0.706,0.671,76.5,22.41,13.15,10.46
10,422,,,,,,,,,,,,,,,
10,450,2.68,33.07,1.06,2877.4,0.332,0.446,4.05,24.11,1.256,0.456,0.739,74.5,21.61,13.2,10.36
10,367,,,,,,,3.7,22.19,1.302,0.49,0.676,74,21.77,12.17,10.29
10,439,2.73,34.66,1.16,3045.5,0.314,0.418,,,,,,,,,
10,442,,,,,,,3.82,25.4,1.305,0.489,0.717,74,23.1,11.43,10.22
10,,2.77,35.85,1.14,3186.9,0.314,0.414,,,,,,,,,
10,386.5,,,,,,,3.31,23.06,1.211,0.623,0.832,78.5,21.48,12.93,10.44
10,386,2.77,35.42,1.13,3163.8,0.33,0.438,,,,,,,,,
10,448.5,,,,,,,,,,,,,,,
10,441,,,,,,,,,,,,,,,
10,446,,,,,,,,,,,,,,,
10,459,,,,,,,,,,,,,,,
10,445,,,,,,,,,,,,,,,
10,465,,,,,,,,,,,,,,,
10,479.5,,,,,,,,,,,,,,,
10,439.5,,,,,,,4.28,25.91,1.206,0.696,0.695,,,,
10,465,,,,,,,,,,,,,,,
10,371,2.71,34.06,0.97,2759.2,0.38,0.522,,,,,,75,19.35,11.63,11.27
10,436.5,,,,,,,,,,,,,,,
10,455,,,,,,,,,,,,76,19.74,11.59,8.84
10,432.5,2.69,33.34,0.92,2632.9,,0.548,,,,,,,,,
10,438.5,,,,,,,2.19,28.09,1.371,0.561,0.561,78,24.91,14.7,11.39
10,424.5,,,,,,,,,,,,,,,
10,446.5,,,,,,,3.53,27.3,1.364,0.431,0.557,75,17.99,9.48,
10,418.5,,,,,,,,,,,,,,,
10,442,,,,,,,2.98,28.72,1.316,0.647,0.866,,,,
10,454,,,,,,,3.17,26.13,1.224,0.374,0.518,74.5,16.71,9.53,8.6
10,451,,,,,,,5.33,,,0.473,0.518,75,15.77,8.9,6.8
10,,2.81,36.62,0.91,2442.9,,,2.21,29.61,1.318,0.521,0.649,,,,
11,452.5,,,,,,,,,,,,,,,
11,470.5,2.85,37.91,0.75,2413.9,0.488,0.678,3.58,26.98,1.015,0.365,0.03,83.9,24.97,10.53,8.8
11,469.5,,,,,,,,,,,,,,,
11,471.5,2.74,35.27,0.89,2661.5,0.416,0.58,4.37,26.97,1.051,0.385,0.373,86.5,27.54,,10.92
11,503,,,,,,,,,,,,,,,
11,455.5,2.77,35.81,0.72,2344.2,0.506,0.708,4.72,25.88,1.02,0.372,0.244,83.9,24.8,,9.14
11,499,,,,,,,,,,,,,,,
11,,2.77,36.39,0.86,2576.7,0.436,0.608,,,,,,,,,
11,458.5,,,,,,,,,,,,,,,
11,455,,,,,,,,,,,,,,,
11,492,2.77,35.96,0.75,2470.2,0.504,0.68,4.75,25.7,1.199,0.457,0.14,81.8,25.67,,9.23
11,495,,,,,,,,,,,,,,,
11,478,2.73,35.45,0.8,2491.8,0.476,0.666,4.83,25.37,1.169,0.253,0.093,78.6,22.29,9.96,8.82
11,493,,,,,,,,,,,,,,,
11,,,,,,,,4.88,22.46,1.091,0.584,0.347,77.1,27.04,,8.97
11,485,2.74,35.39,0.8,2608.7,0.49,0.66,4.99,24.4,1.097,0.295,0.099,82.8,23.9,10.77,7.85
11,392,,,,,,,,,,,,,,,
11,,2.75,35.44,0.77,2534.6,0.508,0.686,5.66,23.33,1.036,0.268,0.133,77.6,22.32,9.82,8.57
11,497.5,,,,,,,,,,,,,,,
11,,2.66,33.23,0.68,2241.3,0.54,0.732,5.57,21.07,1.016,0.237,0.218,81.3,23.25,10.05,8.7
11,518.5,,,,,,,,,,,,,,,
11,460,,,,,,,6.07,19.15,1.152,0.416,0.226,83.3,24.58,9.4,8.73
11,,2.78,36.4,0.85,2715.5,0.46,0.618,,,,,,,,,
11,482.5,,,,,,,6.08,23.4,1.077,0.393,0.162,80.7,24.64,10.5,8.24
11,,2.83,37.8,0.89,2779.9,0.438,0.594,,,,,,,,,
11,507.5,,,,,,,4.03,23.29,0.994,0.249,,82.8,22.92,9.73,8.42
11,,2.94,41.57,0.98,2950.5,0.404,0.562,,,,,,,,,
11,398.5,,,,,,,,,,,,,,,
11,404,,,,,,,,,,,,,,,
11,489,,,,,,,,,,,,,,,
11,405.5,2.81,36.9,1.05,2881.6,0.364,0.49,2.42,25.71,1.122,0.508,0.279,79.2,18.63,10.18,7.27
11,443,,,,,,,,,,,,,,,
11,421.5,2.83,37.86,1.02,3005.3,0.38,0.508,8.55,18.99,0.938,0.722,,,,,
11,429.5,,,,,,,,,,,,,,,
11,463.5,,,,,,,,,,,,,,,
11,445,,,,,,,,,,,,,,,
11,465,2.75,35.37,1,2934,0.37,0.496,,,,,,80.2,17.97,12.82,8.74
11,423.5,,,,,,,,,,,,,,,
11,457,,,,,,,,,,,,85.4,14.63,8.93,
11,420.5,2.85,38.25,1.06,2796.9,0.354,0.496,4.79,26.62,1.008,0.425,0.314,,,,
11,415.5,2.83,37.82,1.03,2998.3,0.372,0.496,5.14,27.5,0.971,0.675,0.329,80.7,18.41,13.73,9.06
11,433,2.84,37.59,1,2849.9,0.382,0.524,,,,,,,,,
11,364,2.8,36.9,0.92,2728.5,0.402,0.554,5.02,25.43,0.786,0.161,0.232,81.8,16.12,8.84,6.32
11,406.5,,,,,,,,,,,,,,,
11,416.5,2.9,39.65,1.09,3192.3,0.366,0.504,,,,,,,,,
11,429.5,2.85,38.38,0.97,2953,0.394,0.532,7.24,21.05,1.043,0.349,0.287,,,,
11,421,2.86,38.54,0.98,2931.2,0.394,0.528,3.99,26.06,0.967,0.328,0.37,77.1,16.71,10.18,6.46
11,415,2.8,36.54,1.1,2994.2,0.326,0.442,2.7,25.02,0.774,0.133,0.243,79.2,18.38,9.79,7.18
11,,2.94,40.89,1.02,3087.9,0.382,0.506,2.42,28.37,0.9,0.402,0.451,,,,
12,473.5,2.78,36.89,1.01,2262.4,0.382,0.522,3.39,26.01,1.003,0.208,0.121,77.5,20.45,8.06,8.2
12,397.5,,,,,,,,,,,,,,,
12,449,2.81,37.49,0.87,2041.2,0.434,0.586,4.04,25.91,0.968,0.115,,76.5,20.19,8.25,8.31
12,433.5,,,,,,,,,,,,,,,
12,433,,,,,,,,,,,,,,,
12,412.5,,,,,,,,,,,,,,,
12,461.5,,,,,,,,,,,,,,,
12,425,2.78,37.1,0.96,2231.2,0.406,0.526,4.1,25.99,0.914,0.019,,79,20.34,8.9,8.18
12,385,,,,,,,,,,,,,,,
12,436,,,0.88,2105.8,0.42,0.544,3.77,25.74,0.937,0.143,0.034,77,19.86,8.52,6.94
12,,,,,,,,4.45,22.28,0.947,0.098,0.393,72,22.86,,
12,474,2.7,34.71,0.93,2292.7,0.406,0.528,3.88,25.96,1.022,0.427,0.169,75,20.63,8.45,9.97
12,426.5,,,,,,,,,,,,,,,
12,466,2.65,33.42,0.92,2051.6,0.412,0.534,3.27,25.83,1.104,0.249,0.156,73.5,21.14,8.95,8.03
12,442.5,,,,,,,,,,,,,,,
12,458.5,2.71,34.79,0.86,2014.8,0.442,0.59,4.41,23.63,0.979,0.147,0.019,75,20.2,9.28,7.48
12,446.5,,,,,,,,,,,,,,,
12,457.5,,,,,,,2.89,23.44,1.009,0.19,0.098,77.5,20.51,9.48,7.02
12,,2.81,37.91,0.99,2188.5,0.386,0.52,,,,,,,,,
12,453,,,,,,,,,,,,77,21.76,8.7,8.9
12,,2.77,36.54,0.97,2141.9,0.392,0.534,,,,,,,,,
12,453,,,,,,,4.27,22.87,1.061,0.249,0.264,74,20.1,8.24,8.52
12,,2.83,38.13,0.93,2181.5,0.428,0.574,,,,,,,,,
12,444,2.79,37.09,0.92,2071.5,0.41,0.546,4.89,22.58,1.117,,0.413,,,,
12,480,,,,,,,,,,,,,,,
12,444,2.8,37.28,0.94,2185.6,0.424,0.564,2.97,26.53,0.762,0.188,,72.5,17.27,9.85,5.92
12,428,,,,,,,,,,,,,,,
12,444,2.78,37.21,0.89,1998.3,0.44,0.596,,21,0.961,0.284,,,,,
12,425,,,,,,,,,,,,,,,
12,446.5,2.73,35.23,0.89,2111.7,0.428,0.56,5.02,25.82,,0.122,,71.5,16.05,9.61,6.39
12,432.5,,,,,,,,,,,,,,,
12,452,2.79,36.59,0.9,2046,0.426,0.56,,,,,,71.5,15.14,8.85,6.51
12,449,,,,,,,,,,,,77,15.35,8.01,5.9
12,455,2.75,35.85,0.87,2064.4,0.43,0.576,2.91,27.92,,0.105,,,,,
12,405,,,,,,,,,,,,,,,
12,480.5,,,,,,,,,,,,,,,
12,458.5,,,,,,,,,,,,,,,
12,442.5,2.74,36.21,0.92,2268,0.422,0.556,,,,,,,,,
12,478.5,2.76,36.34,0.9,2043.6,0.424,0.576,,,,,,76,16.41,11.25,6.77
12,442.5,2.72,35.24,0.93,2234.6,0.406,0.544,5.69,22.15,0.749,0.197,0.027,76,17.89,9.67,6.24
12,,2.83,38.03,0.87,2034.9,0.452,0.588,3.51,27.09,1.053,0.29,0.25,,,,
13,421.5,,,,,,,,,,,,,,,
13,452.5,2.82,37.89,0.69,1725.7,0.518,0.762,3.2,29.02,1.177,0.214,0.452,76.4,17.97,7.81,8.61
13,421,2.78,36.91,0.69,1672.5,0.514,0.74,3.26,28.12,0.832,0.101,0.196,78.4,19.02,8.33,8.83
13,405,,,,,,,,,,,,,,,
13,423,2.75,35.76,0.66,1640.2,0.522,0.76,2.2,28.02,1.039,0.419,0.492,74,19.79,9.4,9.48
13,446,,,,,,,,,,,,,,,
13,425,2.8,37.5,0.69,1699.7,0.536,0.776,,,,,,,,,
13,421.5,,,,,,,,,,,,,,,
13,407.5,2.67,33.62,0.61,1566.2,0.564,0.796,3.84,23.99,1.031,0.22,0.519,79.8,19.33,8.46,9.38
13,425,,,,,,,,,,,,,,,
13,445,2.68,33.67,0.66,1548.8,0.544,0.76,2.97,28.37,0.883,0.155,0.252,73.1,19.29,8.27,8.01
13,487,,,,,,,,,,,,,,,
13,,,,,,,,5.66,21.88,1.006,0.143,0.348,67.3,18.8,8.48,9.07
13,443,,,,,,,5,22.64,0.975,0.076,0.355,81.3,18.49,8,7.99
13,438.5,,,,,,,,,,,,,,,
13,443.5,,,,,,,,,,,,,,,
13,448,,,,,,,,,,,,,,,
13,409,,,,,,,,,,,,,,,
13,418,,,,,,,,,,,,,,,
13,,,,,,,,5.19,24.2,0.744,0.115,0.156,,,,
13,322.5,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,75,16.79,10.76,8.95
13,341,,,,,,,5.86,23.91,0.645,0.566,0.547,,,,
13,,,,,,,,5.14,26.26,0.828,,0.615,75,20.39,,
13,373,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,77.9,17.97,9.71,9.63
13,358.5,,,,,,,,,,,,78.4,15.21,7.66,7.17
13,,,,,,,,1.91,29.68,0.606,0.153,0.316,,,,
13,404,,,,,,,4.33,27.69,0.725,0.548,0.462,73.6,19.33,10.35,9.52
13,391.5,,,,,,,,,,,,,,,
13,392.5,,,,,,,3.69,26.66,0.717,0.368,0.293,76.9,15.36,8.89,7.68
13,397.5,,,,,,,,,,,,,,,
13,398,,,,,,,2.67,28.53,1.06,0.501,0.633,,,,
13,379.5,,,,,,,4.46,25.18,0.703,0.393,0.209,73.6,15.72,9.14,8.11
13,395.5,,,,,,,4.47,21.41,0.717,0.405,0.194,73.1,15.54,8.84,8.15
13,,,,,,,,1.84,29.94,0.801,0.179,0.366,,,,
14,537.5,,,,,,,,,,,,,,,
14,524.5,2.97,41.85,0.87,2248.7,0.474,0.65,2.93,28.21,0.673,0.116,0.105,81.3,17.56,9.4,10.24
14,488,2.92,40.91,0.95,2265.5,0.418,0.59,2.68,28.09,0.7,0.309,0.25,83.9,17.98,9.78,10.74
14,513,,,,,,,,,,,,,,,
14,501.5,,,,,,,,,,,,,,,
14,478.5,3.05,44.83,0.91,2263.2,0.452,0.628,2.51,29.12,0.838,0.362,0.101,82.3,17.7,10.96,11.35
14,491,,,,,,,,,,,,,,,
14,534.5,,,,,,,,,,,,,,,
14,532,2.97,42.28,1.02,2400.7,0.418,0.57,,,,,,,,,
14,521.5,,,,,,,,,,,,,,,
14,525.5,2.96,42.15,1.01,2424.2,0.38,0.538,3.27,27.04,0.731,0.135,,80.7,18.43,8.55,9.56
14,532.5,,,,,,,,,,,,,,,
14,467,2.96,41.45,0.96,2229.8,0.402,0.566,3.05,26.88,0.765,0.28,0.06,80.2,17.32,9.38,8.25
14,,,,,,,,4.89,22.07,0.648,0.056,0.24,,20.57,7.92,10.83
14,522.5,2.79,37.11,0.94,2386.7,0.432,0.584,2.14,28.7,0.598,0.135,,81.8,18.15,8.43,8.57
14,511.5,,,,,,,,,,,,,,,
14,527,2.65,33.14,0.94,2415.6,0.442,0.594,2.91,26.38,0.781,0.26,0.194,80.7,17.55,9.17,8.86
14,567,,,,,,,,,,,,,,,
14,574.5,2.83,38.24,0.91,2414.8,0.446,0.602,3.04,25.11,0.684,0.081,0.283,79.2,17.56,10.44,8.61
14,546,,,,,,,3.34,22.55,0.808,,0.284,78.1,19.31,9.97,9.85
14,,2.88,39.71,0.95,2279.5,0.412,0.588,,,,,,,,,
14,503.5,,,,,,,2.76,25.47,0.59,0.18,,80.7,21.03,13.06,9.88
14,,2.88,39.76,1,2293.9,0.384,0.548,,,,,,,,,
14,521.5,,,,,,,4.16,22.92,0.597,0.006,0.093,79.7,19.13,11.07,9.47
14,,2.92,41.09,0.99,2408.5,0.398,0.56,,,,,,,,,
14,559,3.29,52.95,,,0.37,0.54,,21.6,0.708,0.461,0.443,,,,
14,525,,,,,,,,,,,,,,,
14,552,3.26,51.27,1.11,,0.382,0.552,3.43,27.67,0.408,0.475,0.267,81.3,14.16,12.24,7.74
14,548.5,,,,,,,,,,,,,,,
14,537.5,3.14,48.23,1.04,2534.3,0.402,0.582,,20.27,0.528,0.468,0.211,,,,
14,505,,,,,,,,,,,,,,,
14,509.5,3.15,48.61,0.96,2543.7,0.434,0.614,,,,,,79.2,15.89,,8.85
14,528.5,,,,,,,,,,,,,,,
14,522,3.14,47.08,0.97,2457,0.406,0.608,,,,,,81.8,15.16,10.75,7.65
14,537.5,,,,,,,,,,,,80.2,13.47,10.27,7.95
14,512.5,3.2,49.97,1.07,2445.4,0.394,0.57,2.89,29.01,0.554,0.351,0.269,,,,
14,499,3.27,51.81,1.09,2473.2,0.384,0.554,4.47,27.54,0.518,0.515,0.358,81.8,15.15,11.53,7.4
14,522.5,3.18,48.73,1.02,2535.1,0.416,0.59,,,,,,,,,
14,547.5,3.14,48.28,1.03,2579,0.394,0.578,2.77,26.66,0.567,0.43,0.243,80.2,14.46,9.16,7.05
14,544.5,3.17,48.77,0.95,2234.3,0.424,0.618,,,,,,,,,
14,543,3.09,46.3,0.93,2233,0.432,0.636,3.73,25.36,0.59,,0.25,,,,
14,,3.18,49.06,1,2414.4,0.414,0.61,2.29,27.68,0.547,0.231,0.122,78.1,14.23,9.89,7.62
14,526,3.06,45.12,0.9,2146.6,0.466,0.67,3.5,23.13,0.483,0.229,,79.7,14.86,9.92,7.3
14,,3.21,50.31,0.97,2433.4,0.424,0.63,1.95,27.8,0.659,0.194,0.173,,,,
15,,,,,,,,3.37,26.48,1.334,0.634,0.573,77.3,17.94,9.31,9.47
15,600.5,2.81,37.56,0.66,2837.4,0.512,0.81,3.72,25.83,1.249,0.677,0.6,80.9,18.81,8.81,10.4
15,556.5,,,,,,,,,,,,,,,
15,597.5,2.8,36.98,0.62,2632.2,0.536,0.84,4.29,25.39,1.463,0.707,0.643,80.4,18.53,10.01,10.33
15,526.5,,,,,,,,,,,,,,,
15,514,2.84,38.31,0.64,2574.7,0.528,0.818,,,,,,,,,
15,477,,,,,,,,,,,,,,,
15,549.5,,,,,,,,,,,,,,,
15,539.5,,,,,,,,,,,,,,,
15,,,,,,,,5.55,21.5,1.194,0.567,0.299,,,,
15,619.5,,,,,,,,,,,,,,,
15,543.5,,,,,,,,,,,,,,,
15,587,2.81,37.77,0.64,2559.6,0.542,0.854,3.35,25.21,1.555,0.691,0.837,80.9,17.38,7.63,7.53
15,604,,,,,,,,,,,,,,,
15,621,2.83,38.18,0.63,2536.3,0.556,0.848,6.65,18.88,1.272,0.546,0.745,83,18.02,7.37,9.66
15,601,,,,,,,3.47,23.42,1.26,0.519,0.447,78.4,17.49,7.82,8.67
15,,2.8,37.79,0.64,2564.5,0.524,0.832,,,,,,,,,
15,527.5,2.78,36.65,0.65,2522.5,0.526,0.834,,21.31,1.162,0.75,0.875,,,,
15,,2.75,35.86,0.57,2395.3,0.564,0.904,,,,,,,,,
15,,,,,,,,2.15,26.09,1.251,0.565,0.72,,,,
15,590,2.71,34.44,0.57,2391.7,0.596,0.924,3.04,24.51,1.386,0.717,0.527,81.4,,9.72,12.51
15,472,2.73,35.03,0.55,,0.586,0.926,2.78,23.2,0.973,,,80.4,16.3,7.6,6.66
15,,2.78,35.92,0.6,2368.4,0.57,0.904,2.56,28.32,1.179,0.583,0.756,,,,
16,504.5,,,,,,,,,,,,,,,
16,516,2.8,37.09,1.18,3126.5,0.3,0.4,2.72,27.64,1.163,0.537,0.505,77.2,22.42,9.03,8.91
16,516,,,,,,,,,,,,,,,
16,544.5,2.9,39.98,1.25,3382.4,0.306,0.398,3.26,27.3,1.137,0.24,0.218,79.2,24.97,10.26,10.2
16,515.5,,,,,,,,,,,,,,,
16,523.5,2.88,39.15,1.14,3423.2,0.33,0.418,2.98,27.96,1.241,0.499,0.39,77.7,22.82,8.81,9.42
16,538.5,,,,,,,,,,,,,,,
16,508.5,,,,,,,,,,,,,,,
16,519.5,,,,,,,,,,,,,,,
16,492,2.84,38.23,1.18,3285.2,0.304,0.398,2.24,28.01,1.109,0.358,0.558,78.7,20.51,8.38,10.16
16,498,,,,,,,,,,,,,,,
16,477,2.85,38.83,1.15,2968.8,0.306,0.41,3.02,27.84,1.265,0.519,0.635,78.2,20.62,10.85,9.25
16,496.5,,,,,,,,,,,,,,,
16,,,,,,,,5.38,22.03,1.23,0.46,0.358,72.8,19.48,9.47,8.33
16,509.5,2.83,38.16,1.26,3441.7,0.28,0.37,3.8,27.41,1.066,0.372,0.366,78.7,22.01,8,9.72
16,519.5,,,,,,,,,,,,,,,
16,523.5,2.74,35.85,1.13,2913.6,0.316,0.426,2.74,26.65,1.14,0.301,0.45,75.7,21.6,8.69,10.42
16,497.5,,,,,,,,,,,,,,,
16,504,,,,,,,,,,,,,,,
16,523,2.73,34.85,1.06,2713.8,0.322,0.438,3.15,25.68,1.234,0.658,0.58,74.3,21.85,9.62,8.86
16,502,,,,,,,2.98,25.17,1.187,0.313,0.53,77.7,23.38,8.81,11.7
16,490.5,,,,,,,3.44,26.05,1.098,0.437,0.506,77.7,20.84,8.02,8.49
16,507.5,2.82,37.18,1.05,2652.9,0.328,0.432,,,,,,,,,
16,525.5,2.95,41.15,0.95,2718.8,0.408,0.548,4.94,24.25,0.833,0.447,0.176,,,,
16,507.5,,,,,,,4.63,23.53,0.637,0.274,0.121,78.7,20.97,9.83,9.44
16,510,2.95,41.38,1.17,2888.3,0.322,0.434,5.87,,0.71,0.348,0.062,,,,
16,508,,,,,,,,,,,,,,,
16,500.5,2.93,40.76,0.98,2767,0.37,0.5,4.32,24.99,0.791,0.303,0.223,72.8,16.69,7.42,6.48
16,554,,,,,,,,,,,,,,,
16,513.5,,,,,,,,,,,,,17.59,7.48,8.18
16,513,,,,,,,,,,,,78.2,16.19,8.25,7.2
16,537.5,2.84,37.78,1.07,2823.9,0.344,0.474,2.03,29.65,0.564,0.525,0.24,,,,
16,533,,,,,,,,,,,,,,,
16,546,2.85,37.93,0.96,2585.1,0.366,0.506,,,,,,,,,
16,513.5,2.84,37.65,0.83,2406,0.392,0.55,2.75,26.97,0.69,0.366,0.196,75.2,18.31,9.05,7
16,539.5,2.92,40.58,1.04,2854.3,0.356,0.48,,,,,,,,,
16,527,,,1.07,2702,0.374,0.524,2.38,26.65,0.878,0.586,0.571,,,,
16,545.5,2.88,39.25,0.98,2700.7,0.366,0.492,4.49,23.65,0.843,0.569,0.25,73.3,20.35,10.4,7.01
16,538.5,2.84,37.79,0.96,2569.6,0.348,0.49,4.08,21.94,0.799,0.509,0.204,,17.84,7.33,6.69
16,,,,1.15,2873.8,0.34,0.47,1.8,28.16,0.848,0.333,0.186,,,,
17,451,,,,,,,,,,,,,,,
17,396,3.02,43.29,1.05,2903.7,0.406,0.534,1.97,27.67,0.568,0.557,0.551,83,23.02,10.45,13.67
17,391.5,3.08,45.53,1.07,2722.5,0.41,0.552,4.5,24.52,0.653,0.551,0.697,86,19.88,10.76,15.85
17,489.5,,,,,,,,,,,,,,,
17,380,,,,,,,,,,,,,,,
17,436.5,3.01,43.63,1.01,2699.2,0.422,0.566,2.57,27.93,0.615,0.391,0.475,83.5,22.61,11.93,13.62
17,334.5,,,,,,,,,,,,,,,
17,442,3.01,43.44,1.16,2928.7,0.372,0.488,,,,,,,,,
17,537,,,,,,,,,,,,,,,
17,527.5,2.98,42.47,1.1,2869.3,0.384,0.502,3.42,26.26,0.746,0.467,0.551,81,22.8,13.1,13.87
17,432,,,,,,,,,,,,,,,
17,456,2.97,42.2,1.15,2956.8,0.368,0.478,3.76,26.35,0.564,0.398,0.555,80,22.01,13.5,12.55
17,497,2.81,37.14,0.88,2507.7,0.43,0.592,3.49,25.97,0.438,0.367,0.471,79.5,20,10.81,12.54
17,435,,,,,,,,,,,,,,,
17,511.5,,,,,,,,,,,,,,,
17,509,2.86,39.09,1.32,3203.6,0.322,0.412,4.05,24.8,0.61,0.429,0.717,78.5,21.83,10.27,12.68
17,512.5,,,,,,,,,,,,,,,
17,534,2.9,40.09,1,2471.3,0.4,0.536,3.28,24.8,0.904,0.419,0.619,79.5,22.13,11.08,12.03
17,486.5,,,,,,,5.62,21.26,0.82,0.476,0.651,77.5,19.49,10.53,11.25
17,,2.93,41.22,1.07,2901.5,0.388,0.498,,,,,,,,,
17,535.5,,,,,,,5.81,21.32,0.903,0.537,0.679,78,24.15,,12.46
17,,2.88,39.23,0.91,2522.9,0.44,0.598,,,,,,,,,
17,521.5,,,,,,,,,,,,79,20.63,9.08,10.61
17,,3,43.24,1.13,2726.5,0.38,0.514,,,,,,,,,
