Season,Week,ID,value_ave_GB,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mn,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1,Zscr_BT_ave_GB,Zscr_BT_JHIM.mx,Zscr_BT_FTCT.mx,Zscr_BT_FZVmx,Zscr_BT_EccDur.mn,Zscr_BT_TTPP.mn,Zscr_BT_tm_CV_SMF1,Zscr_BT_mu.vel_CV_SMF1,Zscr_BT_logAdj_pl.up,Zscr_BT_logAdj_pl.fwd,Zscr_BT_logAdj_pl.side,Zscr_BT_HRmu_perc,Zscr_BT_pl.up_CV_SMR1,Zscr_BT_pl.fwd_CV_SMR1,Zscr_BT_pl.side_CV_SMR1,Zscr_WI_TD_acu7,Zscr_WI_HIR_17_acu7,Zscr_WI_VHSR_25_acu7
2023,1,7,575,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,-1.37,0.05,1.1
2023,1,4,487,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,-0.98,-0.19,-1.18
2023,1,39,436.5,,,,,,,,,,,,,,,-0.52,,,,,,,,,,,,,,,-1.28,0.3,0.37
2023,1,3,484,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,-0.91,0.14,-0.47
2023,1,18,513,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,-0.5,-0.32,0.1
2023,1,19,330.5,,,,,,,,,,,,,,,-1.75,,,,,,,,,,,,,,,-1.02,-0.33,-0.24
2023,1,16,504.5,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,-0.57,0.43,0.11
2023,1,9,518,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,-1.11,-0.2,-1.21
2023,1,13,421.5,,,,,,,,,,,,,,,-0.69,,,,,,,,,,,,,,,-0.87,-0.65,-0.43
2023,1,14,537.5,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,-1.07,-0.03,-1.27
2023,1,8,475.5,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,-0.67,0.33,-0.74
2023,1,23,612.5,,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,-1.03,-0.47,-0.51
2023,1,7,576.5,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,-0.42,1.32,1.31
2023,1,11,452.5,,,,,,,,,,,,,,,-0.33,,,,,,,,,,,,,,,-0.78,0.01,-0.6
2023,1,10,439,,,,,,,,,,,,,,,-0.49,,,,,,,,,,,,,,,-0.9,0.22,-0.3
2023,1,17,451,,,,,,,,,,,,,,,-0.35,,,,,,,,,,,,,,,-1.22,-0.2,-0.07
2023,1,40,246.5,,,,,,,,,,,,,,,-2.73,,,,,,,,,,,,,,,-2.31,-1.37,-1.39
2023,1,42,587.5,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,-0.52,0.09,-0.7
2023,1,5,508.5,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,-0.75,0.23,0.44
2023,1,2,485.5,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,-1.07,-0.11,-0.65
2023,1,6,583,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,-0.41,0.03,0.63
2023,2,3,503.5,37.3,0.9,2435.9,0.422,0.564,3.77,26.73,,0.81,0.819,75.6,19.64,9.8,10.78,0.26,0.21,-0.18,-0.05,0.24,0.04,-0.21,0.82,,2.52,2.24,-0.25,-0.51,0.33,0.59,0.39,1.09,0.6
2023,2,4,466.5,36.32,0.89,2118.7,0.424,0.61,4.15,26.26,1.108,0.5,0.258,80.7,20.21,9.06,8.43,-0.17,-0.03,-0.24,-0.77,0.27,0.5,0.14,0.63,0.8,0.84,-0.62,0.88,-0.31,-0.12,-0.64,0.42,0.6,0.05
2023,2,20,,,,,,,3.77,28.28,0.718,0.137,0.086,80.5,19.43,8.95,8.36,,,,,,,-0.21,1.46,-1.13,-1.13,-1.5,0.84,-0.58,-0.19,-0.67,0.21,-0.57,-1.5
2023,2,15,,,,,,,3.37,26.48,1.334,0.634,0.573,77.3,17.94,9.31,9.47,,,,,,,-0.57,0.72,1.93,1.57,0.99,0.13,-1.1,0.03,-0.09,0.67,1.52,1.59
2023,2,8,448.5,34.26,0.8,1895.7,0.458,0.6,3.39,27.22,1.063,0.656,0.638,80,29.99,12.85,11.45,-0.38,-0.55,-0.8,-1.27,0.8,0.4,-0.55,1.02,0.58,1.69,1.32,0.73,3.05,2.19,0.94,0.93,1.4,-0.1
2023,2,21,,,,,,,3.31,26.95,1.204,0.685,0.749,73.1,24.74,10.29,14.57,,,,,,,-0.62,0.91,1.28,1.84,1.89,-0.8,1.24,0.63,2.57,0.06,-0.55,-1.02
2023,2,24,,,,,,,2.38,27.54,0.894,0.309,0.442,83.8,20.72,10.57,17.67,,,,,,,-1.45,1.15,-0.26,-0.2,0.32,1.57,-0.14,0.8,4.18,0.05,-1.29,-1.47
2023,2,17,396,43.29,1.05,2903.7,0.406,0.534,1.97,27.67,0.568,0.557,0.551,83,23.02,10.45,13.67,-0.99,1.71,0.76,1.01,-0.01,-0.27,-1.82,1.21,-1.88,1.15,0.87,1.39,0.65,0.73,2.1,-0.2,0.67,0.97
2023,2,42,593.5,38.06,0.97,2130.6,0.374,0.536,,,,,,,,,,1.31,0.4,0.26,-0.74,-0.52,-0.25,,,,,,,,,,0.2,1.02,-0.58
2023,2,6,,39.14,1.03,3221.5,0.372,0.502,3.42,27.59,0.828,0.26,0.396,70.8,23.62,9.89,12.3,,0.67,0.63,1.72,-0.55,-0.59,-0.52,1.18,-0.59,-0.46,0.08,-1.31,0.86,0.39,1.38,0.4,0.89,1.36
2023,2,14,524.5,41.85,0.87,2248.7,0.474,0.65,2.93,28.21,0.673,0.116,0.105,81.3,17.56,9.4,10.24,0.51,1.35,-0.36,-0.47,1.05,0.9,-0.96,1.43,-1.36,-1.25,-1.4,1.01,-1.23,0.09,0.31,0.32,0.91,-0.04
2023,2,7,563.5,33.41,0.81,2208.7,0.432,0.614,3.97,27.73,1.277,,0.027,81.6,20.95,11.05,8.24,0.96,-0.76,-0.74,-0.56,0.39,0.54,-0.03,1.23,1.64,,-1.8,1.08,-0.06,1.09,-0.73,1.15,3.1,2.74
2023,2,2,450,35.27,0.91,2093.7,0.4,0.548,4.89,25.17,0.986,0.397,0.43,77.3,21.31,8.37,9.83,-0.36,-0.3,-0.11,-0.82,-0.11,-0.12,0.8,0.19,0.2,0.28,0.26,0.13,0.06,-0.54,0.09,0.27,0.92,0.15
2023,2,10,434,34.06,1.14,3240.7,0.334,0.438,3.57,27.88,1.186,0.58,0.456,77,26.45,12.41,11.55,-0.55,-0.6,1.32,1.77,-1.14,-1.23,-0.39,1.29,1.19,1.27,0.39,0.06,1.83,1.92,0.99,0.55,1.5,1.42
2023,2,5,500.5,38.33,1.09,2643.7,0.342,0.472,4,27.46,0.837,,0.307,74.7,24.22,7.54,9.8,0.23,0.47,1.01,0.42,-1.02,-0.89,0,1.12,-0.54,,-0.37,-0.44,1.07,-1.05,0.08,0.61,1.22,1.64
2023,2,16,516,37.09,1.18,3126.5,0.3,0.4,2.72,27.64,1.163,0.537,0.505,77.2,22.42,9.03,8.91,0.41,0.16,1.57,1.51,-1.68,-1.61,-1.15,1.2,1.08,1.04,0.64,0.11,0.45,-0.14,-0.39,0.56,1.8,1.23
2023,2,13,452.5,37.89,0.69,1725.7,0.518,0.762,3.2,29.02,1.177,0.214,0.452,76.4,17.97,7.81,8.61,-0.33,0.36,-1.48,-1.66,1.74,2.02,-0.72,1.76,1.15,-0.71,0.37,-0.07,-1.09,-0.88,-0.54,0.19,0.41,0.96
2023,2,23,607.5,39,0.74,2574.7,0.502,0.702,2.45,26.42,0.48,0.072,0.44,82.2,17.41,6.26,9.27,1.47,0.64,-1.17,0.26,1.49,1.42,-1.39,0.7,-2.32,-1.49,0.31,1.21,-1.28,-1.82,-0.2,-0.14,1.01,0.69
2023,2,18,525.5,38.63,1.03,2725.5,0.394,0.536,3.03,27.76,0.925,0.171,0.309,,,,,0.52,0.54,0.63,0.6,-0.2,-0.25,-0.87,1.24,-0.11,-0.95,-0.36,,,,,0.57,0.63,0.82
2023,2,11,470.5,37.91,0.75,2413.9,0.488,0.678,3.58,26.98,1.015,0.365,0.03,83.9,24.97,10.53,8.8,-0.12,0.36,-1.11,-0.1,1.27,1.18,-0.38,0.93,0.34,0.11,-1.79,1.59,1.32,0.78,-0.44,0.07,0.72,0.32
2023,2,19,313,36.97,0.87,2202.6,0.47,0.608,3.74,28.12,0.961,0.304,0.451,74.4,20.48,8.38,13.96,-1.96,0.13,-0.36,-0.58,0.99,0.48,-0.23,1.39,0.07,-0.23,0.36,-0.51,-0.22,-0.53,2.25,0.33,0.67,1.01
2023,2,40,284,,,,,,,,,,,,,,,-2.29,,,,,,,,,,,,,,,-2.31,-1.37,-1.39
2023,2,9,564,35.49,0.9,2612.7,0.398,0.542,3.84,27.89,0.624,0.331,0.557,71,21.87,8.74,11.11,0.97,-0.24,-0.18,0.35,-0.14,-0.18,-0.14,1.3,-1.6,-0.08,0.91,-1.26,0.26,-0.31,0.76,0.21,0.75,0.29
2023,2,22,,,,,,,2.9,27.2,0.765,0.136,0.237,78.1,23.94,9.89,11.41,,,,,,,-0.99,1.02,-0.9,-1.14,-0.73,0.31,0.97,0.39,0.92,-0.08,-0.66,-1.54
2023,2,4,479,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,0.62,0.75,-0.2
2023,2,40,252.5,,,,,,,,,,,,,,,-2.66,,,,,,,,,,,,,,,-1.93,-1.35,-1.39
2023,2,8,497.5,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,0.61,1.04,0.28
2023,2,19,381,,,,,,,,,,,,,,,-1.17,,,,,,,,,,,,,,,0.55,0.81,1.31
2023,2,23,617.5,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,-0.4,1,1.03
2023,2,3,489,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,0.62,1.53,0.55
2023,2,4,482.5,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.78,1.38,0.23
2023,2,39,461,,,,,,,,,,,,,,,-0.23,,,,,,,,,,,,,,,-2.2,-1.37,-1.56
2023,2,9,546,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,0.53,1.55,1.41
2023,2,2,349,,,,,,,,,,,,,,,-1.54,,,,,,,,,,,,,,,0.37,1.25,0.09
2023,2,5,502.5,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,0.9,1.79,1.01
2023,2,10,394,,,,,,,,,,,,,,,-1.01,,,,,,,,,,,,,,,0.09,0.94,0.71
2023,2,19,361.5,,,,,,,,,,,,,,,-1.39,,,,,,,,,,,,,,,0.79,1.34,1.35
2023,2,7,558.5,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,-0.04,0.88,1
2023,2,11,469.5,,,,,,,,,,,,,,,-0.14,,,,,,,,,,,,,,,0.39,1.34,2.28
