Season,Week,ID,value_ave_GB,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mn,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1,Zscr_BT_ave_GB,Zscr_BT_JHIM.mx,Zscr_BT_FTCT.mx,Zscr_BT_FZVmx,Zscr_BT_EccDur.mn,Zscr_BT_TTPP.mn,Zscr_BT_tm_CV_SMF1,Zscr_BT_mu.vel_CV_SMF1,Zscr_BT_logAdj_pl.up,Zscr_BT_logAdj_pl.fwd,Zscr_BT_logAdj_pl.side,Zscr_BT_HRmu_perc,Zscr_BT_pl.up_CV_SMR1,Zscr_BT_pl.fwd_CV_SMR1,Zscr_BT_pl.side_CV_SMR1,Zscr_WI_TD_acu7,Zscr_WI_HIR_17_acu7,Zscr_WI_VHSR_25_acu7
2023,10,28,418.5,,,,,,,,,,,,,,,-0.73,,,,,,,,,,,,,,,1.24,0.84,-0.35
2023,10,11,493,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,1.93,0.91,-0.14
2023,10,29,375.5,,,,,,,,,,,,,,,-1.23,,,,,,,,,,,,,,,1.62,1.35,1.01
2023,10,22,508,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,1.6,1.68,1.15
2023,10,6,635.5,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,0.44,0.19,-0.67
2023,10,27,575,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,1.79,1.44,0.55
2023,10,18,523,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,1.09,1.1,0.65
2023,10,16,496.5,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,1.36,0.74,0.84
2023,10,42,580,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,0.47,0.72,0.83
2023,10,33,451,,,,,,,,,,,,,,,-0.35,,,,,,,,,,,,,,,-0.43,-0.59,-0.93
2023,10,2,478,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,1.75,0.99,0.52
2023,10,23,599,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,1.67,0.62,0.6
2023,10,37,429.5,,,,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,1.81,2.28,2.18
2023,10,35,475.5,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,1.69,0.74,1.7
2023,10,38,505.5,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,1.59,1.84,2.1
2023,10,19,337,,,,,,,,,,,,,,,-1.68,,,,,,,,,,,,,,,1.67,1.67,2.46
2023,11,4,,,,,,,5.25,21.33,0.967,0.427,0.44,74.1,18.48,7.67,7.65,,,,,,,1.12,-1.37,0.1,0.44,0.31,-0.58,-0.91,-0.97,-1.04,1.2,0.92,1.58
2023,11,30,,,,,,,4.88,22.28,,,0.066,,,,,,,,,,,0.79,-0.99,,,-1.6,,,,,0.27,0.72,0.04
2023,11,20,,,,,,,6.01,22.23,0.723,,0.037,,,,,,,,,,,1.81,-1.01,-1.11,,-1.75,,,,,1.02,-0.03,0.82
2023,11,3,,,,,,,5.13,22.27,1.382,0.428,1.046,,24.03,9.64,11.33,,,,,,,1.02,-0.99,2.17,0.45,3.4,,1,0.23,0.88,1.46,1.01,0.92
2023,11,39,,,,,,,5.73,20.75,1.07,0.328,0.404,76.5,23.35,10.2,8.54,,,,,,,1.56,-1.61,0.61,-0.1,0.12,-0.05,0.77,0.57,-0.58,1.86,1.44,1.05
2023,11,11,,,,,,,4.88,22.46,1.091,0.584,0.347,77.1,27.04,,8.97,,,,,,,0.79,-0.91,0.72,1.29,-0.17,0.09,2.04,,-0.35,1.44,0.56,-0.14
2023,11,42,,,,,,,4.19,22.01,0.663,0.417,0.183,,,,,,,,,,,0.17,-1.1,-1.41,0.39,-1,,,,,0.49,-0.64,-0.66
2023,11,25,,,,,,,7.8,16.91,0.846,0.087,0.506,,20.07,8.03,10.28,,,,,,,3.42,-3.17,-0.5,-1.4,0.64,,-0.36,-0.75,0.33,1.03,1.23,1.01
2023,11,23,,,,,,,5.69,21.5,0.713,0.25,0.674,,17.62,7.75,,,,,,,,1.52,-1.3,-1.16,-0.52,1.5,,-1.21,-0.92,,1.9,0.42,0.6
2023,11,38,,,,,,,4.32,22.36,1.152,0.391,0.421,75.3,17.87,9.7,,,,,,,,0.29,-0.95,1.02,0.25,0.21,-0.31,-1.12,0.27,,0.43,0.59,1.51
2023,11,13,,,,,,,5.66,21.88,1.006,0.143,0.348,67.3,18.8,8.48,9.07,,,,,,,1.49,-1.15,0.3,-1.1,-0.16,-2.08,-0.8,-0.47,-0.3,0.71,0.48,1.45
2023,11,31,,,,,,,4.63,21.54,1.036,0.299,0.384,73.5,24.96,10.44,8.77,,,,,,,0.57,-1.29,0.45,-0.25,0.02,-0.71,1.32,0.72,-0.46,0.81,0.19,-0.16
2023,11,16,,,,,,,5.38,22.03,1.23,0.46,0.358,72.8,19.48,9.47,8.33,,,,,,,1.24,-1.09,1.41,0.62,-0.11,-0.86,-0.57,0.13,-0.69,1.6,1.15,0.38
2023,11,24,,,,,,,4.4,21.07,0.833,0.257,0.47,76.2,23.9,9.52,9.68,,,,,,,0.36,-1.48,-0.56,-0.48,0.46,-0.11,0.96,0.16,0.02,1.42,0.84,2.02
2023,11,5,,,,,,,4.53,23.34,1.155,0.151,0.339,72.1,25.64,,10.03,,,,,,,0.48,-0.56,1.04,-1.06,-0.21,-1.02,1.55,,0.2,1.28,0.62,1.8
2023,11,34,,,,,,,4.73,21.77,0.971,0.297,0.177,,,,,,,,,,,0.66,-1.19,0.12,-0.26,-1.04,,,,,0.7,0.27,0.78
2023,11,7,,,,,,,5.26,21.8,1.099,0.332,0.297,65.8,18.98,7.79,9.36,,,,,,,1.13,-1.18,0.76,-0.07,-0.42,-2.41,-0.74,-0.89,-0.15,1.07,0.41,0.34
2023,11,14,,,,,,,4.89,22.07,0.648,0.056,0.24,,20.57,7.92,10.83,,,,,,,0.8,-1.07,-1.48,-1.57,-0.71,,-0.19,-0.81,0.62,1.09,0.47,1.96
2023,11,35,,,,,,,4.27,22.69,1.092,0.316,0.512,,22.81,9.44,8.82,,,,,,,0.24,-0.82,0.72,-0.16,0.68,,0.58,0.11,-0.43,1.72,1.16,1.65
2023,11,28,,,,,,,6.84,18.77,0.849,0.123,0.312,,20.77,8.52,9.44,,,,,,,2.55,-2.42,-0.48,-1.21,-0.35,,-0.12,-0.45,-0.11,1.21,0.84,-0.35
2023,11,2,,,,,,,7.02,18.75,1.04,0.171,0.374,,20.59,6.82,7.55,,,,,,,2.72,-2.42,0.47,-0.95,-0.03,,-0.18,-1.48,-1.09,1.45,0.58,1.2
2023,11,10,,,,,,,,19.88,1.184,0.944,0.811,,23.08,13.32,11.07,,,,,,,,-1.96,1.18,3.25,2.2,,0.67,2.47,0.74,0.77,0.14,1.45
2023,11,40,,,,,,,5.95,,0.946,0.592,0.79,,,,,,,,,,,1.75,,0,1.34,2.09,,,,,0.15,0.07,1.12
2023,11,12,,,,,,,4.45,22.28,0.947,0.098,0.393,72,22.86,,,,,,,,,0.41,-0.99,0,-1.34,0.07,-1.04,0.6,,,1.26,1.05,0.94
2023,11,36,,,,,,,4.87,22.68,1.105,0.624,0.486,72.3,20.85,11.71,10.92,,,,,,,0.78,-0.82,0.79,1.51,0.54,-0.97,-0.09,1.49,0.66,1.57,1.06,1.82
2023,11,15,,,,,,,5.55,21.5,1.194,0.567,0.299,,,,,,,,,,,1.39,-1.3,1.23,1.2,-0.41,,,,,-0.13,0.19,-0.14
2023,11,21,,,,,,,,19.92,1.324,0.709,0.924,,26.74,12.88,16.45,,,,,,,,-1.95,1.88,1.97,2.78,,1.93,2.21,3.55,1.42,1.39,2.09
2023,11,18,,,,,,,5.74,21.75,0.799,0.397,0.056,,,,,,,,,,,1.56,-1.2,-0.73,0.28,-1.65,,,,,1.19,0.33,0.23
2023,11,19,,,,,,,6.07,20.32,0.869,0.252,0.589,,18.26,7.51,10.36,,,,,,,1.86,-1.78,-0.38,-0.51,1.07,,-0.99,-1.06,0.37,1.12,1.02,1.55
2023,11,8,,,,,,,5.7,21.11,0.908,0.675,0.599,,,,,,,,,,,1.53,-1.46,-0.19,1.79,1.12,,,,,-0.59,0.04,-0.21
2023,11,32,,,,,,,4.49,23.81,0.762,0.228,0.36,71.1,17.36,8.55,8.6,,,,,,,0.44,-0.36,-0.92,-0.64,-0.1,-1.24,-1.3,-0.43,-0.55,1.61,1.56,1.22
2023,11,27,,,,,,,4.48,22.61,1.158,0.534,0.403,,23.5,9.88,8.98,,,,,,,0.43,-0.85,1.05,1.02,0.12,,0.82,0.38,-0.35,1.7,1.17,-0.2
2023,11,41,,,,,,,5.03,20.79,0.808,0.535,0.416,,,,,,,,,,,0.93,-1.59,-0.69,1.03,0.19,,,,,0.37,-0.11,0.85
2023,11,22,,,,,,,5.14,22.12,0.819,0.144,0.118,,22.17,10.2,10.09,,,,,,,1.03,-1.05,-0.63,-1.09,-1.34,,0.36,0.57,0.23,1.22,1.51,1.32
2023,11,1,,,,,,,5.54,,0.84,0.059,0.362,,23.12,8.94,10.21,,,,,,,1.39,,-0.53,-1.56,-0.09,,0.69,-0.19,0.29,1.37,1.16,1.58
2023,11,9,,,,,,,4.95,22.29,0.902,0.543,0.687,,22.84,8.45,9.16,,,,,,,0.85,-0.98,-0.22,1.07,1.57,,0.59,-0.49,-0.25,0.99,0.76,1.52
2023,11,30,471.5,,,,,,,,,,,,,,,-0.11,,,,,,,,,,,,,,,0,0.62,-0.23
2023,12,30,439,37.43,1.04,2516.7,0.356,0.482,4.13,26.35,0.826,0.32,0.036,76.2,19.65,7.59,7.41,-0.49,0.24,0.7,0.13,-0.8,-0.79,0.12,0.67,-0.6,-0.14,-1.76,-0.11,-0.51,-1.01,-1.17,-0.6,-0.34,-0.81
2023,12,3,475,30.86,0.88,,0.398,0.544,5.14,24.17,1.49,0.457,0.595,77.7,21.26,8.67,9.83,-0.07,-1.4,-0.3,,-0.14,-0.16,1.03,-0.22,2.7,0.61,1.1,0.22,0.05,-0.36,0.09,-1.82,-1.4,-1.65
2023,12,20,566.5,37.96,1.16,3131.7,0.348,0.452,3.29,29.25,0.659,0.166,,79,17.74,7.13,7.49,0.99,0.38,1.44,1.52,-0.92,-1.09,-0.64,1.85,-1.43,-0.97,,0.51,-1.17,-1.29,-1.13,-0.81,0.08,-0.88
2023,12,43,556.5,26.49,0.73,2003.7,0.468,0.622,4.87,23.45,0.734,0.523,0.352,88.8,20.21,10.84,9.99,0.88,-2.49,-1.23,-1.03,0.96,0.62,0.78,-0.51,-1.06,0.96,-0.14,2.67,-0.31,0.96,0.18,-0.92,-0.23,-1.31
2023,12,39,475,35.82,0.9,2953.7,0.394,0.584,4.5,24.52,0.756,0.323,0.537,80.9,20.85,9.41,10.36,-0.07,-0.16,-0.18,1.12,-0.2,0.24,0.45,-0.07,-0.95,-0.12,0.8,0.93,-0.09,0.09,0.37,-1.07,-0.71,-0.88
2023,12,4,525,34.62,0.98,2380.7,0.364,0.51,4.62,25.23,1.137,0.363,0.418,77.2,19.91,8.91,8.5,0.51,-0.46,0.32,-0.18,-0.67,-0.51,0.56,0.21,0.95,0.09,0.2,0.11,-0.42,-0.21,-0.6,-2.08,-1.42,-2.34
2023,12,15,619.5,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,-1.15,-0.11,-1.26
2023,12,21,586,34.39,1.03,2618.7,0.336,0.47,2.72,28.06,1.064,0.697,0.361,63.7,24.42,10.67,12.63,1.22,-0.51,0.63,0.36,-1.11,-0.91,-1.15,1.37,0.59,1.91,-0.1,-2.88,1.13,0.86,1.56,-1.4,-1.1,-1.13
2023,12,40,274,31.3,0.6,1675.7,0.578,0.784,3.31,26.48,0.969,0.634,0.265,80.9,22.35,8.87,9.51,-2.41,-1.29,-2.04,-1.77,2.68,2.24,-0.62,0.72,0.11,1.57,-0.59,0.93,0.42,-0.24,-0.07,0.08,1.68,0.08
2023,12,5,518.5,37.73,0.8,2266.7,0.452,0.63,4.02,26.97,0.972,0.166,0.319,74.2,25.32,7.73,9.58,0.44,0.32,-0.8,-0.43,0.71,0.7,0.02,0.92,0.13,-0.97,-0.31,-0.55,1.44,-0.93,-0.04,-1.84,-1.19,-1.75
2023,12,23,614.5,40.45,0.77,2650.7,0.482,0.694,3.97,24.93,0.704,0.183,0.33,82.7,16.11,6.05,7.8,1.55,1,-0.98,0.43,1.18,1.34,-0.03,0.09,-1.2,-0.88,-0.25,1.32,-1.73,-1.95,-0.96,-1.25,-1.27,-0.69
2023,12,13,443,,,,,,5,22.64,0.975,0.076,0.355,81.3,18.49,8,7.99,-0.44,,,,,,0.9,-0.84,0.14,-1.46,-0.13,1.01,-0.91,-0.77,-0.87,-1.26,-1.17,-1.05
2023,12,10,461,32.42,1.06,2936.7,0.352,0.462,4.18,25.88,1.306,0.393,0.662,80,19.21,9.92,8.99,-0.23,-1.01,0.82,1.08,-0.86,-0.99,0.16,0.48,1.79,0.26,1.44,0.73,-0.66,0.4,-0.34,-2.13,-1.35,-1.61
2023,12,2,439.5,33.56,0.84,1951.7,0.422,0.58,4.22,23.91,0.996,0.332,0.412,74.7,20.18,7.51,7.78,-0.48,-0.72,-0.55,-1.15,0.24,0.2,0.2,-0.32,0.25,-0.07,0.16,-0.44,-0.33,-1.06,-0.97,-2.06,-1.53,-1.39
2023,12,31,517.5,,,,,,,,,,,77,18.97,8.19,7.08,0.42,,,,,,,,,,,0.06,-0.74,-0.65,-1.34,-1.89,-1.36,-1.27
2023,12,34,677.5,38.86,0.98,2829.7,0.396,0.524,2.15,28.29,0.709,,,76.2,18.88,9.28,8.71,2.29,0.6,0.32,0.84,-0.17,-0.37,-1.66,1.46,-1.18,,,-0.11,-0.77,0.01,-0.49,-0.53,0.1,-0.82
2023,12,9,528,35.99,0.88,2502.7,0.426,0.58,3.2,27.47,0.661,0.301,0.277,71.5,20.13,10.77,8.86,0.55,-0.12,-0.3,0.1,0.3,0.2,-0.72,1.13,-1.42,-0.24,-0.52,-1.15,-0.34,0.92,-0.41,-2.11,-1.35,-1.82
2023,12,28,369.5,36.01,0.79,2268.7,0.44,0.656,4.1,24.16,0.756,0.097,0.345,74.1,20.3,7.33,6.77,-1.3,-0.11,-0.86,-0.43,0.52,0.96,0.09,-0.22,-0.95,-1.35,-0.18,-0.58,-0.28,-1.17,-1.5,-2.07,-1.37,-1.07
2023,12,11,485,35.39,0.8,2608.7,0.49,0.66,4.99,24.4,1.097,0.295,0.099,82.8,23.9,10.77,7.85,0.05,-0.27,-0.8,0.34,1.3,1,0.89,-0.12,0.75,-0.27,-1.43,1.35,0.96,0.92,-0.94,-1.71,-1.38,-1.24
2023,12,12,474,34.71,0.93,2292.7,0.406,0.528,3.88,25.96,1.022,0.427,0.169,75,20.63,8.45,9.97,-0.08,-0.43,0.01,-0.37,-0.01,-0.33,-0.11,0.51,0.38,0.44,-1.08,-0.38,-0.17,-0.49,0.17,-1.08,-1.07,-1.32
2023,12,16,509.5,38.16,1.26,3441.7,0.28,0.37,3.8,27.41,1.066,0.372,0.366,78.7,22.01,8,9.72,0.33,0.43,2.06,2.22,-1.99,-1.91,-0.18,1.1,0.6,0.14,-0.07,0.44,0.3,-0.77,0.04,-1.44,-1.3,-1.28
2023,12,27,495,37.87,,2167.7,,,3.98,24.84,,0.662,0.355,69.2,18.91,8.59,8.16,0.16,0.35,,-0.66,,,-0.02,0.06,,1.72,-0.13,-1.66,-0.76,-0.41,-0.78,-1.72,-1.36,-1.07
2023,12,14,522.5,37.11,0.94,2386.7,0.432,0.584,2.14,28.7,0.598,0.135,,81.8,18.15,8.43,8.57,0.48,0.16,0.07,-0.16,0.39,0.24,-1.67,1.63,-1.73,-1.14,,1.13,-1.02,-0.5,-0.56,-2.08,-1.41,-2
2023,12,29,451.5,44.07,0.84,1855.7,0.478,0.658,3.68,25.75,0.773,0.064,0.028,70.7,20.31,6.42,9.83,-0.34,1.9,-0.55,-1.36,1.11,0.98,-0.29,0.43,-0.86,-1.53,-1.8,-1.33,-0.28,-1.73,0.09,-1.64,-1.31,-1.38
2023,12,24,436.5,36.15,0.96,2985.7,0.4,0.518,3.72,25.78,0.874,0.274,0.411,74.1,18.88,8.73,13.53,-0.52,-0.08,0.2,1.19,-0.11,-0.43,-0.25,0.44,-0.36,-0.39,0.16,-0.58,-0.77,-0.32,2.03,-1.34,-0.93,-1.23
2023,12,42,566,34.92,0.88,1901.7,0.4,0.572,3.11,26.52,0.874,0.496,0.293,76.7,21.61,8.98,10.61,0.99,-0.38,-0.3,-1.26,-0.11,0.12,-0.8,0.74,-0.36,0.82,-0.44,0,0.17,-0.17,0.5,0.04,1.45,-0.11
2023,12,37,438,32.09,1.09,2978.7,0.328,0.422,3.29,25.9,0.775,0.182,0.115,75.7,17.82,7.45,7.77,-0.5,-1.09,1.01,1.18,-1.24,-1.39,-0.64,0.49,-0.85,-0.89,-1.35,-0.22,-1.14,-1.1,-0.98,-1.73,-0.7,-1.31
2023,12,33,446.5,,,,,,3.74,23.24,0.813,0.331,0.329,85.9,21.56,10.44,9.14,-0.4,,,,,,-0.23,-0.6,-0.66,-0.08,-0.26,2.03,0.15,0.72,-0.27,-0.26,0.21,0.59
2023,12,25,338,26.79,0.7,2101.7,0.452,0.63,3.35,21.33,0.851,0.366,0.613,78.4,20.13,8.93,9.77,-1.67,-2.41,-1.42,-0.81,0.71,0.7,-0.58,-1.37,-0.47,0.11,1.19,0.37,-0.34,-0.2,0.06,-0.63,-1.01,0.43
2023,12,7,530.5,30.6,0.77,1946.7,0.416,0.596,4.77,25.26,1.187,,0.232,77,21.62,9.53,7.3,0.58,-1.46,-0.98,-1.16,0.14,0.36,0.69,0.23,1.2,,-0.75,0.06,0.17,0.17,-1.23,-2.13,-1.38,-1.66
2023,12,38,505,38.61,1.02,2719.7,0.36,0.504,3.17,26.09,1.132,0.524,0.166,78.4,17.33,9.17,7.6,0.28,0.54,0.57,0.59,-0.74,-0.57,-0.74,0.56,0.92,0.97,-1.09,0.37,-1.31,-0.05,-1.07,-1.72,-1.02,-0.99
2023,12,8,524.5,34.63,0.83,1549.7,0.444,0.582,4.14,26.47,1.062,0.393,0.309,77.5,28.22,8.28,9.73,0.51,-0.45,-0.61,-2.05,0.58,0.22,0.13,0.72,0.58,0.26,-0.36,0.17,2.44,-0.59,0.04,-0.65,-0.47,-0.74
2023,12,36,,34.45,1.21,2583.7,0.3,0.414,3.53,28.44,1.11,0.416,0.26,76.4,21.02,11.81,11.46,,-0.5,1.75,0.28,-1.68,-1.47,-0.42,1.52,0.81,0.38,-0.61,-0.07,-0.04,1.55,0.95,-1.71,-1.1,-1.55
2023,12,6,627.5,41.49,1.09,3036.7,0.364,0.498,,,,,,,,,,1.7,1.26,1.01,1.31,-0.67,-0.63,,,,,,,,,,-1.05,-0.31,-0.93
2023,12,18,535,33.8,0.83,2653.7,0.43,0.558,3.71,26.86,0.89,0.136,0.3,82.7,21.22,10.31,11.66,0.63,-0.66,-0.61,0.44,0.36,-0.02,-0.26,0.88,-0.28,-1.14,-0.41,1.32,0.03,0.64,1.05,-0.42,0.42,-0.91
2023,12,22,474.5,28.77,0.8,2066.7,0.462,0.644,3.4,26.96,0.929,0.326,0.303,81.8,21.94,7.24,9.11,-0.08,-1.92,-0.8,-0.89,0.86,0.84,-0.54,0.92,-0.09,-0.11,-0.39,1.13,0.28,-1.23,-0.28,-1.62,-1.22,-1.43
2023,12,32,440,38.2,0.89,2860.7,0.408,0.556,4.39,25.53,0.811,0.163,0.154,79.4,17.07,7.81,7.87,-0.48,0.44,-0.24,0.91,0.02,-0.04,0.35,0.34,-0.67,-0.99,-1.15,0.59,-1.4,-0.88,-0.93,-1.68,-1.12,-0.78
2023,12,1,409,34.64,1.28,,0.268,0.348,3.49,26.67,0.692,0.092,0.06,63,23.06,9.11,9.9,-0.84,-0.45,2.19,,-2.18,-2.13,-0.46,0.8,-1.26,-1.38,-1.63,-3.03,0.67,-0.09,0.13,-1.91,-1.22,-1.57
2023,12,41,424,27.71,0.71,1814.7,0.47,0.624,3.22,26.77,0.933,0.236,0.412,77.5,,12.7,11.69,-0.66,-2.18,-1.36,-1.46,0.99,0.64,-0.7,0.84,-0.07,-0.59,0.16,0.17,,2.1,1.07,-0.34,0.53,-1.06
2023,12,17,497,37.14,0.88,2507.7,0.43,0.592,3.49,25.97,0.438,0.367,0.471,79.5,20,10.81,12.54,0.19,0.17,-0.3,0.11,0.36,0.32,-0.46,0.52,-2.53,0.12,0.47,0.62,-0.39,0.95,1.51,-2.08,-1.39,-2.45
2023,12,19,340.5,33.89,0.85,1987.7,0.442,0.586,4.52,25.26,0.791,0.281,0.533,71.3,20.51,8.48,10.43,-1.64,-0.64,-0.49,-1.06,0.55,0.26,0.47,0.23,-0.77,-0.35,0.78,-1.2,-0.21,-0.47,0.41,-1.8,-1.35,-1.58
2023,12,35,466,36.72,1.17,2979.7,0.314,0.396,3,28.78,1.014,0.31,0.266,81.7,22.37,10.61,10.75,-0.18,0.07,1.5,1.18,-1.46,-1.65,-0.9,1.66,0.34,-0.19,-0.58,1.1,0.43,0.82,0.57,-1.89,-1.34,-1.39
2023,12,40,215.5,,,,,,,,,,,,,,,-3.09,,,,,,,,,,,,,,,0.36,0.65,1.06
2023,12,7,527,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,-1.34,-0.55,-0.74
2023,12,24,461.5,,,,,,,,,,,,,,,-0.23,,,,,,,,,,,,,,,-0.73,-0.52,0.05
2023,12,13,438.5,,,,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,-0.7,-0.66,-0.41
2023,12,5,539,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,-1.13,-0.76,-0.74
2023,12,41,383,,,,,,,,,,,,,,,-1.14,,,,,,,,,,,,,,,0.16,-0.04,1.31
2023,12,42,567.5,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,0.4,0.69,0.28
2023,12,17,435,,,,,,,,,,,,,,,-0.54,,,,,,,,,,,,,,,-1,-0.73,-0.59
2023,12,30,382,,,,,,,,,,,,,,,-1.15,,,,,,,,,,,,,,,-0.54,0.06,-0.07
2023,12,3,463,,,,,,,,,,,,,,,-0.21,,,,,,,,,,,,,,,-0.7,-0.18,-0.68
2023,12,4,604,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,-0.86,-0.23,-0.13
2023,12,43,566.5,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,-1.23,-0.82,-0.48
2023,12,39,467.5,,,,,,,,,,,,,,,-0.16,,,,,,,,,,,,,,,-0.41,-0.37,-0.08
2023,12,20,564,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,-0.32,0.01,0.24
2023,12,40,236,,,,,,,,,,,,,,,-2.85,,,,,,,,,,,,,,,-0.2,-0.36,0.24
2023,12,28,417,,,,,,,,,,,,,,,-0.75,,,,,,,,,,,,,,,-0.8,-0.35,-0.85
2023,12,42,586.5,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,0.06,-0.27,0.06
2023,12,31,480.5,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,-0.47,0,-0.34
2023,12,33,383,,,,,,,,,,,,,,,-1.14,,,,,,,,,,,,,,,-0.2,-0.27,0.03
2023,12,23,609.5,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,-0.12,0.54,0.43
2023,12,18,488,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,0,0,-0.28
2023,12,32,450,,,,,,,,,,,,,,,-0.36,,,,,,,,,,,,,,,-0.58,0.18,0.33
2023,12,15,543.5,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,-0.94,-0.81,-1.26
2023,12,1,406.5,,,,,,,,,,,,,,,-0.87,,,,,,,,,,,,,,,-0.41,-0.35,-0.4
2023,12,5,514,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,-0.76,-0.61,-0.58
2023,12,11,392,,,,,,,,,,,,,,,-1.04,,,,,,,,,,,,,,,-0.63,-0.08,-0.49
2023,12,16,519.5,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,-0.47,-0.14,-0.89
2023,12,37,445.5,,,,,,,,,,,,,,,-0.41,,,,,,,,,,,,,,,-0.7,-0.45,-0.62
2023,12,26,363,,,,,,,,,,,,,,,-1.37,,,,,,,,,,,,,,,-0.51,-0.3,-0.49
2023,12,8,530.5,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,-0.37,0.06,-0.26
2023,12,10,478.5,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,-0.99,-0.37,-0.86
2023,12,6,604,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,-0.3,0.35,0.27
2023,12,27,531.5,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,-1.54,-0.64,-0.94
2023,12,14,511.5,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,-1,-0.53,-1.48
2023,12,41,408,,,,,,,,,,,,,,,-0.85,,,,,,,,,,,,,,,-0.43,-0.21,1.31
2023,12,25,333.5,,,,,,,,,,,,,,,-1.72,,,,,,,,,,,,,,,-0.41,-0.26,-0.6
2023,12,22,463.5,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,-0.53,0.1,0.33
2023,12,19,288.5,,,,,,,,,,,,,,,-2.24,,,,,,,,,,,,,,,-0.8,-0.64,-0.64
2023,12,13,443.5,,,,,,,,,,,,,,,-0.44,,,,,,,,,,,,,,,-0.36,-0.43,-0.52
2023,12,7,581.5,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,-0.33,-0.11,-0.53
2023,12,34,673,,,,,,,,,,,,,,,2.23,,,,,,,,,,,,,,,-0.24,-0.55,0.19
2023,12,29,398,,,,,,,,,,,,,,,-0.97,,,,,,,,,,,,,,,-0.38,-0.07,0.23
2023,12,17,511.5,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,-0.58,0.07,-0.02
2023,12,12,426.5,,,,,,,,,,,,,,,-0.64,,,,,,,,,,,,,,,-0.25,-0.08,0.02
2023,12,9,527.5,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,-0.97,-0.44,-1.1
2023,12,24,462,,,,,,,,,,,,,,,-0.22,,,,,,,,,,,,,,,-0.43,-0.14,-0.15
2023,12,21,621,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,-0.3,0.19,-0.15
2023,12,2,480.5,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,-0.77,-0.28,-0.65
2023,12,35,449,,,,,,,,,,,,,,,-0.37,,,,,,,,,,,,,,,-0.85,-0.33,-0.12
2023,13,20,574,33.73,1.13,3125.6,0.348,0.436,3.72,28.55,0.681,0.112,,76.4,18.57,7.07,6.81,1.08,-0.68,1.26,1.51,-0.92,-1.25,-0.25,1.57,-1.32,-1.27,,-0.07,-0.88,-1.33,-1.48,1.2,0.89,1.48
2023,13,43,579.5,25.8,0.75,1919.6,0.426,0.59,5.18,22.34,0.709,0.349,0.172,87.2,21.23,10.74,9.35,1.15,-2.66,-1.11,-1.22,0.3,0.3,1.06,-0.96,-1.18,0.02,-1.06,2.32,0.04,0.9,-0.16,0.28,0.18,0.84
