ID,rn,vel_m.s,Acceleration,acc.up
#ID33,2,4.405555556,2.521,1.66
#ID33,2.01,,,1.41
#ID33,2.02,,,1.1
#ID33,2.03,,,0.79
#ID33,2.04,,,0.52
#ID33,2.05,,,0.32
#ID33,2.06,,,0.22
#ID33,2.07,,,0.22
#ID33,2.08,,,0.27
#ID33,2.09,,,0.33
#ID33,2.1,4.555555556,2.355,0.36
#ID33,2.11,,,0.31
#ID33,2.12,,,0.18
#ID33,2.13,,,-0.03
#ID33,2.14,,,-0.28
#ID33,2.15,,,-0.5
#ID33,2.16,,,-0.63
#ID33,2.17,,,-0.61
#ID33,2.18,,,-0.41
#ID33,2.19,,,-0.04
#ID33,2.2,4.677777778,2.177,0.46
#ID33,2.21,,,1
#ID33,2.22,,,1.49
#ID33,2.23,,,1.87
#ID33,2.24,,,2.1
#ID33,2.25,,,2.19
#ID33,2.26,,,2.19
#ID33,2.27,,,2.14
#ID33,2.28,,,2.07
#ID33,2.29,,,1.98
#ID33,2.3,4.788888889,1.989,1.84
#ID33,2.31,,,1.63
#ID33,2.32,,,1.35
#ID33,2.33,,,1.01
#ID33,2.34,,,0.67
#ID33,2.35,,,0.36
#ID33,2.36,,,0.16
#ID33,2.37,,,0.07
#ID33,2.38,,,0.1
#ID33,2.39,,,0.21
#ID33,2.4,4.886111111,1.797,0.36
#ID33,2.41,,,0.47
#ID33,2.42,,,0.5
#ID33,2.43,,,0.43
#ID33,2.44,,,0.25
#ID33,2.45,,,0.02
#ID33,2.46,,,-0.22
#ID33,2.47,,,-0.4
#ID33,2.48,,,-0.46
#ID33,2.49,,,-0.36
#ID33,2.5,4.963888889,1.607,-0.08
#ID33,2.51,,,0.32
#ID33,2.52,,,0.79
#ID33,2.53,,,1.25
#ID33,2.54,,,1.6
#ID33,2.55,,,1.81
#ID33,2.56,,,1.89
#ID33,2.57,,,1.89
#ID33,2.58,,,1.88
#ID33,2.59,,,1.88
#ID33,2.6,5.036111111,1.421,1.89
#ID33,2.61,,,1.88
#ID33,2.62,,,1.8
#ID33,2.63,,,1.62
#ID33,2.64,,,1.35
#ID33,2.65,,,1.03
#ID33,2.66,,,0.72
#ID33,2.67,,,0.47
#ID33,2.68,,,0.33
#ID33,2.69,,,0.3
#ID33,2.7,5.094444444,1.244,0.38
#ID33,2.71,,,0.49
#ID33,2.72,,,0.59
#ID33,2.73,,,0.61
#ID33,2.74,,,0.53
#ID33,2.75,,,0.34
#ID33,2.76,,,0.07
#ID33,2.77,,,-0.23
#ID33,2.78,,,-0.47
#ID33,2.79,,,-0.62
#ID33,2.8,5.136111111,1.078,-0.6
#ID33,2.81,,,-0.41
#ID33,2.82,,,-0.04
#ID33,2.83,,,0.44
#ID33,2.84,,,0.97
#ID33,2.85,,,1.46
#ID33,2.86,,,1.83
#ID33,2.87,,,2.06
#ID33,2.88,,,2.15
#ID33,2.89,,,2.15
#ID33,2.9,5.172222222,0.92,2.12
#ID33,2.91,,,2.08
#ID33,2.92,,,2.03
#ID33,2.93,,,1.95
#ID33,2.94,,,1.81
#ID33,2.95,,,1.58
#ID33,2.96,,,1.29
#ID33,2.97,,,0.95
#ID33,2.98,,,0.64
#ID33,2.99,,,0.38
#ID33,3,5.205555556,0.774,0.24
#ID33,3.01,,,0.21
#ID33,3.02,,,0.28
#ID33,3.03,,,0.43
#ID33,3.04,,,0.58
#ID33,3.05,,,0.7
#ID33,3.06,,,0.72
#ID33,3.07,,,0.64
#ID33,3.08,,,0.46
#ID33,3.09,,,0.21
#ID33,3.1,5.227777778,0.644,-0.05
#ID33,3.11,,,-0.26
#ID33,3.12,,,-0.36
#ID33,3.13,,,-0.31
#ID33,3.14,,,-0.09
#ID33,3.15,,,0.28
#ID33,3.16,,,0.73
#ID33,3.17,,,1.19
#ID33,3.18,,,1.59
#ID33,3.19,,,1.85
#ID33,3.2,5.247222222,0.528,1.99
#ID33,3.21,,,2.02
#ID33,3.22,,,2
#ID33,3.23,,,1.97
#ID33,3.24,,,1.94
#ID33,3.25,,,1.9
#ID33,3.26,,,1.81
#ID33,3.27,,,1.66
#ID33,3.28,,,1.43
#ID33,3.29,,,1.15
#ID33,3.3,5.272222222,0.428,0.86
#ID33,3.31,,,0.6
#ID33,3.32,,,0.42
#ID33,3.33,,,0.35
#ID33,3.34,,,0.38
#ID33,3.35,,,0.48
#ID33,3.36,,,0.61
#ID33,3.37,,,0.69
#ID33,3.38,,,0.68
#ID33,3.39,,,0.56
#ID33,3.4,5.297222222,0.348,0.35
#ID33,3.41,,,0.08
#ID33,3.42,,,-0.2
#ID33,3.43,,,-0.42
#ID33,3.44,,,-0.55
#ID33,3.45,,,-0.55
#ID33,3.46,,,-0.43
#ID33,3.47,,,-0.17
#ID33,3.48,,,0.2
#ID33,3.49,,,0.64
#ID33,3.5,5.313888889,0.288,1.11
#ID33,3.51,,,1.54
#ID33,3.52,,,1.89
#ID33,3.53,,,2.12
#ID33,3.54,,,2.24
#ID33,3.55,,,2.28
#ID33,3.56,,,2.28
#ID33,3.57,,,2.24
#ID33,3.58,,,2.17
#ID33,3.59,,,2.05
#ID33,3.6,5.333333333,0.242,1.87
#ID33,3.61,,,1.61
#ID33,3.62,,,1.3
#ID33,3.63,,,0.96
#ID33,3.64,,,0.65
#ID33,3.65,,,0.41
#ID33,3.66,,,0.28
#ID33,3.67,,,0.26
#ID33,3.68,,,0.33
#ID33,3.69,,,0.45
#ID33,3.7,5.35,0.207,0.56
#ID33,3.71,,,0.59
#ID33,3.72,,,0.51
#ID33,3.73,,,0.33
#ID33,3.74,,,0.08
#ID33,3.75,,,-0.15
#ID33,3.76,,,-0.3
#ID33,3.77,,,-0.3
#ID33,3.78,,,-0.12
#ID33,3.79,,,0.24
#ID33,3.8,5.361111111,0.181,0.69
#ID33,3.81,,,1.17
#ID33,3.82,,,1.57
#ID33,3.83,,,1.83
#ID33,3.84,,,1.96
#ID33,3.85,,,1.98
#ID33,3.86,,,1.96
#ID33,3.87,,,1.93
#ID33,3.88,,,1.9
#ID33,3.89,,,1.85
#ID33,3.9,5.372222222,0.16,1.77
#ID33,3.91,,,1.61
#ID33,3.92,,,1.4
#ID33,3.93,,,1.14
#ID33,3.94,,,0.89
#ID33,3.95,,,0.69
#ID33,3.96,,,0.56
#ID33,3.97,,,0.51
#ID33,3.98,,,0.54
#ID33,3.99,,,0.61
#ID33,4,5.394444444,0.145,0.67
#ID33,4.01,,,0.69
#ID33,4.02,,,0.64
#ID33,4.03,,,0.5
#ID33,4.04,,,0.28
#ID33,4.05,,,0.02
#ID33,4.06,,,-0.26
#ID33,4.07,,,-0.5
#ID33,4.08,,,-0.64
#ID33,4.09,,,-0.64
#ID33,4.1,5.411111111,0.138,-0.46
#ID33,4.11,,,-0.1
#ID33,4.12,,,0.42
#ID33,4.13,,,1.03
#ID33,4.14,,,1.62
#ID33,4.15,,,2.11
#ID33,4.16,,,2.43
#ID33,4.17,,,2.57
#ID33,4.18,,,2.57
#ID33,4.19,,,2.48
